DATE,CCI
2014-01-01,99.22658
2014-02-01,99.30531
2014-03-01,99.34154
2014-04-01,99.42356
2014-05-01,99.40826
2014-06-01,99.37859
2014-07-01,99.36939
2014-08-01,99.47601
2014-09-01,99.70559
2014-10-01,100.0283
2014-11-01,100.4244
2014-12-01,100.8635
2015-01-01,101.1593
2015-02-01,101.1619
2015-03-01,101.0538
2015-04-01,100.9925
2015-05-01,100.9025
2015-06-01,100.9183
2015-07-01,100.7899
2015-08-01,100.5778
2015-09-01,100.3867
2015-10-01,100.4194
2015-11-01,100.5498
2015-12-01,100.6585
2016-01-01,100.6731
2016-02-01,100.6313
2016-03-01,100.5867
2016-04-01,100.6114
2016-05-01,100.7484
2016-06-01,100.7237
2016-07-01,100.5595
2016-08-01,100.4409
2016-09-01,100.4195
2016-10-01,100.5056
2016-11-01,100.8741
2016-12-01,101.2518
2017-01-01,101.4177
2017-02-01,101.4039
2017-03-01,101.3697
2017-04-01,101.3254
2017-05-01,101.2457
2017-06-01,101.1272
2017-07-01,101.0813
2017-08-01,101.1893
2017-09-01,101.3245
2017-10-01,101.4919
2017-11-01,101.4695
2017-12-01,101.3771
2018-01-01,101.4099
2018-02-01,101.5883
2018-03-01,101.6991
2018-04-01,101.6434
2018-05-01,101.5493
2018-06-01,101.4858
2018-07-01,101.4513
2018-08-01,101.4636
2018-09-01,101.5549
2018-10-01,101.5354
2018-11-01,101.4159
2018-12-01,101.2295
2019-01-01,101.0063
2019-02-01,101.0655
2019-03-01,101.3038
2019-04-01,101.4784
2019-05-01,101.5745
2019-06-01,101.472
2019-07-01,101.2186
2019-08-01,100.8951
2019-09-01,100.8951
2019-10-01,101.1167
2019-11-01,101.4102
2019-12-01,101.6591
2020-01-01,101.6573
2020-02-01,101.1898
2020-03-01,100.0996
2020-04-01,98.91384
2020-05-01,98.36739
2020-06-01,98.31241
2020-07-01,98.33053
2020-08-01,98.55103
2020-09-01,98.89581
2020-10-01,99.06947
2020-11-01,99.04353
2020-12-01,99.06705
2021-01-01,99.0477
