DATE,SP500
2016-03-01,2059.74
2016-04-01,2065.3
2016-05-01,2096.96
2016-06-01,2098.86
2016-07-01,2173.6
2016-08-01,2170.95
2016-09-01,2168.27
2016-10-01,2126.15
2016-11-01,2198.81
2016-12-01,2238.83
2017-01-01,2278.87
2017-02-01,2363.64
2017-03-01,2362.72
2017-04-01,2384.2
2017-05-01,2411.8
2017-06-01,2423.41
2017-07-01,2470.3
2017-08-01,2471.65
2017-09-01,2519.36
2017-10-01,2575.26
2017-11-01,2647.58
2017-12-01,2673.61
2018-01-01,2823.81
2018-02-01,2713.83
2018-03-01,2640.87
2018-04-01,2648.05
2018-05-01,2705.27
2018-06-01,2718.37
2018-07-01,2816.29
2018-08-01,2901.52
2018-09-01,2913.98
2018-10-01,2711.74
2018-11-01,2760.17
2018-12-01,2506.85
2019-01-01,2704.1
2019-02-01,2784.49
2019-03-01,2834.4
2019-04-01,2945.83
2019-05-01,2752.06
2019-06-01,2941.76
2019-07-01,2980.38
2019-08-01,2926.46
2019-09-01,2976.74
2019-10-01,3037.56
2019-11-01,3140.98
2019-12-01,3230.78
2020-01-01,3225.52
2020-02-01,2954.22
2020-03-01,2584.59
2020-04-01,2912.43
2020-05-01,3044.31
2020-06-01,3100.29
2020-07-01,3271.12
2020-08-01,3500.31
2020-09-01,3363
2020-10-01,3269.96
2020-11-01,3621.63
2020-12-01,3756.07
2021-01-01,3714.24
2021-02-01,3811.15
2021-03-01,.
